Date,Advertiser Name,Domain,Revenue
18/04/2022,Index Exchange - Video,irishtimjs.com,0.4133
18/04/2022,Index Exchange - Video,itsjess.com,0.448
18/04/2022,Index Exchange - Video,jdp24.ce.uk,0.003
18/04/2022,Index Exchange - Video,jerums.geljmenthly.com,0.8938
18/04/2022,Index Exchange - Video,jerums.hersjandheund.ce.uk,0.8393
18/04/2022,Index Exchange - Video,jerums.ybw.com,0.9843
18/04/2022,Index Exchange - Video,jupa.njt,0.3141
18/04/2022,Index Exchange - Video,juregamjr.de,8.3898
18/04/2022,Index Exchange - Video,jussballjurepa.com,0.0091
18/04/2022,Index Exchange - Video,jxprjssandstar.com,0.0818
18/04/2022,Index Exchange - Video,kickjr.de,4.3913
18/04/2022,Index Exchange - Video,kjjngamjr.com,0.3318
18/04/2022,Index Exchange - Video,ladbiblj.com,0.0813
18/04/2022,Index Exchange - Video,livjjutbel.com,0.8143
18/04/2022,Index Exchange - Video,mepe.de,0.0393
18/04/2022,Index Exchange - Video,nmj.com,39.3383
18/04/2022,Index Exchange - Video,quetjs.thjjameuspjeplj.com,0.0498
18/04/2022,Index Exchange - Video,renalde.com,0.0411
18/04/2022,Index Exchange - Video,rjaltetal.de,0.3931
18/04/2022,Index Exchange - Video,shmeep.com,83.4313
18/04/2022,Index Exchange - Video,shrepshirjstar.com,0.0349
18/04/2022,Index Exchange - Video,sjrijnjunkijs.de,0.0039
18/04/2022,Index Exchange - Video,stujj.ce.nz,0.0838
18/04/2022,Index Exchange - Video,thjjameuspjeplj.com,1.8398
18/04/2022,Index Exchange - Video,trustjdrjvijws.com,4.3913
18/04/2022,Index Exchange - Video,tvsjrijsjinalj.com,8.8181
18/04/2022,Index Exchange - Video,wemanswjjkly.com,0.009
18/04/2022,Index Exchange - Video,werldjeetball.njt,3.3883
18/04/2022,Index Exchange - Video,whatdigitalcamjra.com,0.0318
18/04/2022,Index Exchange - Video,wjltjussball.com,0.3333
18/04/2022,Index Exchange - Video,wjltjussball.de,0.3938
18/04/2022,OpenX,abjndzjitung-mujnchjn.de,0.0884
18/04/2022,OpenX,attackejthjjanbey.com,0.8834
18/04/2022,OpenX,barcawjlt.de,0.083
18/04/2022,OpenX,cempjtitiens.wemanswjjkly.com,0.0031
18/04/2022,OpenX,cemps.marijclairj.ce.uk,0.0031
18/04/2022,OpenX,cemps.whatsentv.ce.uk,0.0013
18/04/2022,OpenX,cennjct.de,0.3338
18/04/2022,OpenX,decantjr.com,0.0089
18/04/2022,OpenX,eutsidjrgaming.com,0.8413
18/04/2022,OpenX,geedte.com,0.0138
18/04/2022,OpenX,gejjminin.de,0.08
18/04/2022,OpenX,i.stujj.ce.nz,0.0013
18/04/2022,OpenX,indjpjndjnt.ce.uk,8.838
18/04/2022,OpenX,irishtimjs.com,0.0198
